_________________________________________________________
    n    |         u(n)          |          sum
        1|               -5.11141|               -5.05689
        2|                380.313|                375.256
        3|               -23109.3|                 -22734
        4|            1.18173e+06|            1.15899e+06
        5|           -5.20792e+07|           -5.09203e+07
        6|            2.01497e+09|            1.96405e+09
        7|           -6.94498e+10|           -6.74858e+10
        8|            2.15762e+12|            2.09013e+12
        9|            -6.1004e+13|           -5.89139e+13
       10|            1.58237e+15|            1.52345e+15
       11|           -3.79109e+16|           -3.63874e+16
       12|            8.43814e+17|            8.07426e+17
       13|           -1.75362e+19|           -1.67287e+19
       14|            3.41766e+20|            3.25038e+20
       15|           -6.27057e+21|           -5.94554e+21
       16|            1.08681e+23|            1.02736e+23
       17|           -1.78483e+24|            -1.6821e+24
       18|            2.78504e+25|            2.61683e+25
       19|           -4.13935e+26|           -3.87767e+26
       20|            5.87325e+27|            5.48548e+27
       21|            -7.9719e+28|           -7.42335e+28
       22|            1.03705e+30|            9.62814e+29
       23|           -1.29521e+31|           -1.19893e+31
       24|            1.55552e+32|            1.43563e+32
       25|           -1.79906e+33|            -1.6555e+33
       26|            2.00653e+34|            1.84098e+34
       27|           -2.16085e+35|           -1.97676e+35
       28|            2.24957e+36|             2.0519e+36
       29|           -2.26648e+37|           -2.06129e+37
       30|            2.21222e+38|            2.00609e+38
       31|            -2.0939e+39|           -1.89329e+39
       32|            1.92367e+40|            1.73434e+40
       33|           -1.71683e+41|            -1.5434e+41
       34|             1.4897e+42|            1.33537e+42
       35|           -1.25772e+43|           -1.12418e+43
       36|            1.03393e+44|            9.21517e+43
       37|            -8.2819e+44|           -7.36038e+44
       38|            6.46814e+45|             5.7321e+45
       39|           -4.92846e+46|           -4.35525e+46
       40|            3.66593e+47|            3.23041e+47
       41|           -2.66345e+48|           -2.34041e+48
       42|            1.89115e+49|            1.65711e+49
       43|           -1.31296e+50|           -1.14725e+50
       44|             8.9174e+50|            7.77015e+50
       45|           -5.92773e+51|           -5.15072e+51
       46|            3.85834e+52|            3.34327e+52
       47|           -2.46015e+53|           -2.12582e+53
       48|            1.53727e+54|            1.32469e+54
       49|           -9.41771e+54|           -8.09302e+54
       50|             5.6586e+55|             4.8493e+55
       51|           -3.33583e+56|            -2.8509e+56
       52|            1.93012e+57|            1.64503e+57
       53|           -1.09647e+58|           -9.31968e+57
       54|             6.1177e+58|            5.18573e+58
       55|           -3.35347e+59|            -2.8349e+59
       56|            1.80655e+60|            1.52306e+60
       57|           -9.56719e+60|           -8.04413e+60
       58|             4.9822e+61|            4.17779e+61
       59|             -2.552e+62|           -2.13423e+62
       60|            1.28612e+63|             1.0727e+63
       61|           -6.37875e+63|           -5.30605e+63
       62|            3.11423e+64|            2.58363e+64
       63|           -1.49705e+65|           -1.23868e+65
       64|            7.08745e+65|            5.84877e+65
       65|           -3.30534e+66|           -2.72046e+66
       66|            1.51883e+67|            1.24678e+67
       67|           -6.87802e+67|           -5.63124e+67
       68|            3.07022e+68|             2.5071e+68
       69|           -1.35119e+69|           -1.10048e+69
       70|            5.86398e+69|             4.7635e+69
       71|           -2.51003e+70|           -2.03368e+70
       72|            1.05988e+71|            8.56511e+70
       73|           -4.41576e+71|           -3.55925e+71
       74|            1.81553e+72|             1.4596e+72
       75|           -7.36759e+72|           -5.90798e+72
       76|            2.95151e+73|            2.36071e+73
       77|           -1.16743e+74|           -9.31361e+73
       78|            4.55992e+74|            3.62856e+74
       79|           -1.75909e+75|           -1.39624e+75
       80|            6.70335e+75|            5.30711e+75
       81|           -2.52366e+76|           -1.99295e+76
       82|            9.38796e+76|              7.395e+76
       83|           -3.45121e+77|           -2.71171e+77
       84|            1.25399e+78|            9.82817e+77
       85|           -4.50396e+78|           -3.52115e+78
       86|            1.59931e+79|             1.2472e+79
       87|           -5.61521e+79|           -4.36801e+79
       88|             1.9496e+80|             1.5128e+80
       89|           -6.69465e+80|           -5.18185e+80
       90|            2.27386e+81|            1.75568e+81
       91|           -7.64022e+81|           -5.88454e+81
       92|            2.53982e+82|            1.95137e+82
       93|            -8.3542e+82|           -6.40283e+82
       94|            2.71932e+83|            2.07903e+83
       95|           -8.76021e+83|           -6.68118e+83
       96|            2.79329e+84|            2.12517e+84
       97|           -8.81674e+84|           -6.69157e+84
       98|            2.75509e+85|            2.08593e+85
       99|           -8.52399e+85|           -6.43806e+85
      100|            2.61139e+86|            1.96758e+86
      101|           -7.92252e+86|           -5.95494e+86
      102|            2.38045e+87|            1.78496e+87
      103|           -7.08436e+87|            -5.2994e+87
      104|            2.08846e+88|            1.55852e+88
      105|           -6.09919e+88|           -4.54068e+88
      106|            1.76474e+89|            1.31067e+89
      107|           -5.05923e+89|           -3.74856e+89
      108|            1.43722e+90|            1.06237e+90
      109|           -4.04607e+90|            -2.9837e+90
      110|            1.12888e+91|            8.30509e+90
      111|           -3.12178e+91|           -2.29127e+91
      112|            8.55717e+91|             6.2659e+91
      113|           -2.32523e+92|           -1.69864e+92
